latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.31712,-54.28172,304.66,2.36,1.48,2022-05-28,0134,T,61,6.1NRT,290.81,21.5,N
-11.03725,-52.0763,303.08,1.58,1.24,2022-05-28,0134,T,28,6.1NRT,292.82,7.72,N
-11.32166,-54.28769,304.09,2.36,1.48,2022-05-28,0134,T,58,6.1NRT,290.86,18.82,N
-9.91463,-44.43032,302.19,1.3,1.13,2022-05-28,0134,T,45,6.1NRT,290.64,6,N
-10.95214,-52.02981,306.67,1.57,1.23,2022-05-28,0134,T,69,6.1NRT,292,13.48,N
-11.4362,-56.39998,306.09,3.47,1.75,2022-05-28,0134,T,67,6.1NRT,291.24,40.59,N
-11.22221,-54.90306,303.41,2.63,1.56,2022-05-28,0134,T,55,6.1NRT,290.5,21.7,N
-10.41013,-49.74573,304.28,1.12,1.06,2022-05-28,0134,T,59,6.1NRT,293.6,5.81,N
-10.66421,-52.09982,312.41,1.57,1.24,2022-05-28,0134,T,85,6.1NRT,292.75,20.57,N
-10.66598,-52.1141,305.74,1.58,1.24,2022-05-28,0134,T,65,6.1NRT,292.62,11.35,N
-10.66384,-52.10624,316.24,1.57,1.24,2022-05-28,0134,T,93,6.1NRT,292.89,26.97,N
-10.53217,-52.1439,305.96,1.58,1.24,2022-05-28,0137,T,66,6.1NRT,292.04,12.68,N
-10.53401,-52.15828,303.07,1.58,1.24,2022-05-28,0137,T,53,6.1NRT,291.8,9.26,N
-10.52105,-52.14534,326.14,1.58,1.24,2022-05-28,0137,T,100,6.1NRT,292.52,45.63,N
-10.52287,-52.15965,327.81,1.58,1.24,2022-05-28,0137,T,100,6.1NRT,292.65,49.66,N
-10.46141,-52.13039,302.84,1.57,1.23,2022-05-28,0137,T,52,6.1NRT,292.2,7.78,N
-10.44851,-52.11783,302.36,1.57,1.23,2022-05-28,0137,T,47,6.1NRT,291.59,7.17,N
-10.45034,-52.13197,310.2,1.57,1.23,2022-05-28,0137,T,79,6.1NRT,291.84,16.77,N
-10.33627,-51.78773,311.33,1.48,1.2,2022-05-28,0137,T,82,6.1NRT,292.93,17.31,N
-10.32374,-51.77584,324.75,1.47,1.2,2022-05-28,0137,T,100,6.1NRT,293.12,38.9,N
-10.32549,-51.78915,324.8,1.48,1.2,2022-05-28,0137,T,100,6.1NRT,293.63,39.1,N
-9.70009,-48.72073,302.34,1.02,1.01,2022-05-28,0137,T,48,6.1NRT,291.67,4.6,N
-9.70137,-48.73001,303.38,1.02,1.01,2022-05-28,0137,T,55,6.1NRT,291.48,5.16,N
-10.06795,-52.17826,307.28,1.56,1.23,2022-05-28,0137,T,71,6.1NRT,291.72,13.46,N
-10.05689,-52.17974,304.15,1.56,1.23,2022-05-28,0137,T,54,6.1NRT,291.28,9.5,N
-10.10074,-52.78477,317.5,1.73,1.29,2022-05-28,0137,T,95,6.1NRT,291.98,33.77,N
-9.57307,-49.20105,304.87,1.05,1.02,2022-05-28,0137,T,62,6.1NRT,292.96,5.62,N
-9.54689,-49.26952,335.7,1.06,1.03,2022-05-28,0137,T,100,6.1NRT,294.64,38.71,N
